[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:15:40 America/Mexico_City] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/juancarlosromerolorenzo/Documents/www/sql/application/libraries/Resources.php on line 35
[04-Feb-2024 18:18:34 America/Mexico_City] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 52
[04-Feb-2024 18:19:04 America/Mexico_City] PHP Fatal error:  Array and string offset access syntax with curly braces is no longer supported in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 54
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined variable $val in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined array key "" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined property: Index::$rulesHeadFileExcel in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined variable $val in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined array key "" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined property: Index::$rulesHeadFileExcel in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined variable $val in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined array key "" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined property: Index::$rulesHeadFileExcel in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined variable $val in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined array key "" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined property: Index::$rulesHeadFileExcel in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined variable $val in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined array key "" in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 111
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Undefined property: Index::$rulesHeadFileExcel in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
[05-Feb-2024 12:09:20 America/Mexico_City] PHP Warning:  Trying to access array offset on value of type null in /Users/juancarlosromerolorenzo/Documents/www/sql/application/controllers/Index.php on line 112
